情景,站点,规模,助餐价格,日间照料价格,上门护理价格,康复理疗价格,助浴价格,紧急救助价格,加权价格倍率
基准情景,D,中型,8.62,17.24,25.86,24.136,21.55,0.0,0.862
基准情景,G,中型,8.65,17.3,25.95,24.22,21.625,0.0,0.865
基准情景,J,大型,8.55,17.1,25.65,23.939999999999998,21.375,0.0,0.855
老人增长率8%,E,小型,8.82,17.64,26.46,24.696,22.05,0.0,0.882
老人增长率8%,H,中型,8.62,17.24,25.86,24.136,21.55,0.0,0.8619999999999999
老人增长率8%,I,小型,8.81,17.62,26.43,24.668,22.025,0.0,0.881
老人增长率8%,J,大型,8.55,17.1,25.65,23.939999999999998,21.375,0.0,0.855
转移概率调整,D,中型,8.629999999999999,17.259999999999998,25.89,24.164,21.575,0.0,0.863
转移概率调整,I,中型,8.629999999999999,17.259999999999998,25.89,24.164,21.575,0.0,0.8629999999999999
转移概率调整,J,大型,8.55,17.1,25.65,23.939999999999998,21.375,0.0,0.8550000000000002
运营成本增加20%,D,中型,8.83,17.66,26.490000000000002,24.724,22.075,0.0,0.8830000000000001
运营成本增加20%,G,中型,8.870000000000001,17.740000000000002,26.61,24.836,22.175,0.0,0.887
运营成本增加20%,J,大型,8.74,17.48,26.22,24.472,21.85,0.0,0.8739999999999999
预算140万元,A,小型,8.93,17.86,26.79,25.004,22.325,0.0,0.8929999999999999
预算140万元,G,大型,8.65,17.3,25.95,24.22,21.625,0.0,0.865
预算140万元,H,中型,8.65,17.3,25.95,24.22,21.625,0.0,0.8650000000000001
预算140万元,J,大型,8.629999999999999,17.259999999999998,25.89,24.164,21.575,0.0,0.863
